CUIE;SIISA;NOMBRE EFECTOR;DEPENDENCIA ADMINISTRATIVA;CODIGO INDEC PROVINCIA;CODIGO INDEC DEPARTAMENTO;DEPARTAMENTO;CODIGO INDEC LOCALIDAD;LOCALIDAD;LATITUD;LONGITUD
W00026;-;MUNICIPALIDAD EL CAIMAN;Municipal;18;154;SAN MIGUEL;20;SAN MIGUEL;-;-
W20122;5,31802E+13;BANCO DE SANGRE;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,473647;-58,835327
W07000;5,01811E+13;E.S. YOFRE;Provincial;18;105;MERCEDES;10;FELIPE YOFRE;-29,102731;-58,341526
W20176;5,01802E+13;UNIDAD DE MEDICINA GENERAL - FAMILIAR Y COMUNITARIA;Estado Nacional;18;21;CAPITAL;20;CORRIENTES;-27,4741053;-58,8362828
W06962;5,01814E+13;SALA HERLITZKA;Provincial;18;140;SAN LUIS DEL PALMAR;10;SAN LUIS DEL PALMAR;-;-
W20189;5,01801E+13;SALA EVA PERON;Municipal;18;7;BELLA VISTA;10;BELLA VISTA;-27,4746007;-58,8339648
W10107;5,01817E+13;SAPS N° 2 SAN MARTIN PINO SCHNEIDER (EX AURORA);Provincial;18;168;SANTO TOME;40;SANTO TOME;0;0
W07038;5,01817E+13;AGUSTIN GOMEZ;Provincial;18;168;SANTO TOME;40;SANTO TOME;-28,549205;-56,051527
W20161;5,01808E+13;SALA CIC - COLONIA LIEBIG;Municipal;18;84;ITUZAINGO;10;COLONIA LIEBIG'S;-27,911002;-55,834637
W20116;-;OPERATIVO SANITARIO;Provincial;18;21;CAPITAL;20;CORRIENTES;0;0
W06978;1,01803E+13;HOSP. VIRGEN DE ITATI - TABAY;Provincial;18;28;CONCEPCION;30;TABAY;-28,303171;-58,283843
W06976;5,01813E+13;EST. SANITARIA SAN LORENZO;Provincial;18;126;SALADAS;20;SAN LORENZO;-28,136182;-58,759002
W06977;1,01803E+13;HOSP. SANTA ROSA;Provincial;18;28;CONCEPCION;20;SANTA ROSA;-28,2659002;-58,12069237
W06979;5,01803E+13;P.S. TATACUA;Provincial;18;28;CONCEPCION;10;CONCEPCION;-28,39140038;-58,39782715
W06985;1,01809E+13;HOSP. J.R. GOMEZ - SANTA LUCIA;Provincial;18;91;LAVALLE;40;SANTA LUCIA;-28,986219;-59,101982
W06994;1,01818E+13;HOSP. SANTA ROSA;Provincial;18;175;SAUCE;10;SAUCE;-30,088107;-58,794708
W07010;1,01817E+13;HOSP. SAN JUAN BAUTISTA - SANTO TOME;Provincial;18;168;SANTO TOME;40;SANTO TOME;-28,555651;-56,045722
W02723;5,01808E+13;E.S. SAN CARLOS;Provincial;18;84;ITUZAINGO;40;SAN CARLOS;-27,74917701;-55,90118408
W07008;1,01815E+13;HOSPITAL DANIEL VERGARA;Provincial;18;147;SAN MARTIN;40;YAPEYU;-29,47009;-56,819572
W08559;-;VILLA OLIVARI;Provincial;18;84;ITUZAINGO;50;VILLA OLIVARI;0;0
W06982;1,0181E+13;HOSP. SAN ANTONIO DE PADUA - MBURUCUYA;Provincial;18;98;MBURUCUYA;10;MBURUCUYA;-28,044712;-58,222045
W06984;1,01807E+13;HOSP. ZONAL CAMILO MUNIAGURRIA;Provincial;18;70;GOYA;20;GOYA;-29,136643;-59,24489
W06995;1,01811E+13;HOSPITAL RONBINSON;Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,257881;-57,679595
W06996;1,01811E+13;HOSPITAL MOCORETA;Provincial;18;112;MONTE CASEROS;40;MOCORETA;-30,639093;-57,947387
W06999;1,01811E+13;HOSP. LAS MERCEDES;Provincial;18;105;MERCEDES;30;MERCEDES;-29,18923508;-58,07869687
W06992;1,01804E+13;HOSP. FERNANDO IRASTORZA;Provincial;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,792388;-58,049354
W07011;5,01817E+13;E.S. GARABI;Provincial;18;168;SANTO TOME;10;JOSE RAFAEL GOMEZ (GARABI);-28,236649;-55,773468
W07012;1,01817E+13;HOSP. MIGUEL SUSSINI - GOB. VIRASORO;Provincial;18;168;SANTO TOME;30;GOBERNADOR IGR. VALENTIN VIRASORO;-28,047515;-56,013922
W07009;5,01815E+13;E.S. NTRA. SENORA DE FATIMA;Provincial;18;147;SAN MARTIN;20;GUAVIRAVI;-29,406105;-56,791076
W07018;1,01806E+13;HOSPITAL MIGUEL SUSSINI;Provincial;18;56;GENERAL ALVEAR;10;ALVEAR;-29,099376;-56,552724
W20181;1,41802E+13;"""HOSPITAL """"PRESIDENTE RAÚL ALFONSÍN""""""";Provincial;18;21;CAPITAL;40;RIACHUELO;-27,58072046;-58,74252319
W20180;5,01813E+13;SALA B VELEZ SARFIELD;Provincial;18;126;SALADAS;10;SALADAS;-28,261432;-58,619325
W20173;5,01801E+13;SALA JUAN RAMON VIDAL;Municipal;18;7;BELLA VISTA;10;BELLA VISTA;-28,5077305;-59,044857
W20170;5,01801E+13;SALA VISTA DEL PARANA;Municipal;18;7;BELLA VISTA;10;BELLA VISTA;-28,50731558;-59,0322876
W20172;5,0181E+13;S. ISIDORA ALMIRON;Municipal;18;98;MBURUCUYA;10;MBURUCUYA;-28,05077288;-58,13999176
W20187;5,01807E+13;CIC NORTE GOYA;Municipal;18;70;GOYA;20;GOYA;-29,1442242;-59,2643242
W20192;5,01804E+13;SALA CAZADORES CORRENTINOS;Municipal;18;35;CURUZU CUATIA;10;CAZADORES CORRENTINOS;-27,4211254;-58,6257553
W20190;5,01802E+13;"C.A.P.S. 16 ""PALOMA DE LA PAZ""";Provincial;18;21;CAPITAL;20;CORRIENTES;-27,495264;-58,810583
W20118;5,01802E+13;ALCEC (ONG);Provincial;18;21;CAPITAL;20;CORRIENTES;-27,469725;-58,814427
W20111;5,01802E+13;S.A.P.S. CICHERO;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,458549;-58,820714
W20163;-;SECRETARIA PRIVADA;Provincial;18;21;CAPITAL;20;CORRIENTES;0;0
W20117;5,01802E+13;SAPS Bº GÜEMES;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,486202;-58,796582
W20021;5,01814E+13;SAPS EL MILAGRO (PONTON);Provincial;18;140;SAN LUIS DEL PALMAR;10;SAN LUIS DEL PALMAR;-27,509094;-58,556843
W20022;5,01814E+13;SAPS DIOS CON NOSOTROS (SAN CAYETANO);Provincial;18;140;SAN LUIS DEL PALMAR;10;SAN LUIS DEL PALMAR;-27,509094;-58,556499
W20023;5,01814E+13;CIC (EX SAPS NUEVO DESPERTAR);Municipal;18;140;SAN LUIS DEL PALMAR;10;SAN LUIS DEL PALMAR;-27,509489;-58,562278
W20024;5,01814E+13;SAPS INMACULADA;Municipal;18;140;SAN LUIS DEL PALMAR;10;SAN LUIS DEL PALMAR;-27,508271;-58,549575
W20081;5,01814E+13;CAPS LOMA DE GONZALEZ;Provincial;18;140;SAN LUIS DEL PALMAR;10;SAN LUIS DEL PALMAR;-27,550894;-58,517303
W20031;5,01804E+13;S. SAN ISIDRO;Provincial;18;42;EMPEDRADO;20;EMPEDRADO;-27,955591;-58,798141
W20032;5,11804E+13;S. ARROYO PELÓN;Provincial;18;42;EMPEDRADO;20;EMPEDRADO;-29,214771;-58,325808
W20037;5,01806E+13;S. COLONIA ROMERO;Municipal;18;63;GENERAL PAZ;30;NUESTRA SENORA DEL ROSARIO DE CAA CATI;-27,749914;-57,616611
W20040;5,01806E+13;S. TACUARAL;Municipal;18;63;GENERAL PAZ;30;NUESTRA SENORA DEL ROSARIO DE CAA CATI;-27,749914;-57,616611
W20002;5,01813E+13;SALA B ESTACION;Provincial;18;126;SALADAS;10;SALADAS;-28,255249;-58,623561
W20003;5,11813E+13;SALA ANGUA;Provincial;18;126;SALADAS;10;SALADAS;-28,27656771;-58,63128662
W20005;5,01813E+13;SALA COLONIA CABRAL;Provincial;18;126;SALADAS;10;SALADAS;-28,25661;-58,623046
W20004;-;C.A.P.S. PASO NARANJO;Provincial;18;126;SALADAS;10;SALADAS;0;0
W20001;5,01801E+13;CAPS DR. ANTONIO ANGULO (PROMIN);Provincial;18;7;BELLA VISTA;10;BELLA VISTA;-28,50773;-59,044857
W20070;5,01801E+13;PARAJE ISLA ALTA;Municipal;18;7;BELLA VISTA;10;BELLA VISTA;-28,502488;-59,043273
W20074;5,01801E+13;S. 3 DE ABRIL 80 VIVIENDAS;Provincial;18;7;BELLA VISTA;10;BELLA VISTA;-28,50773;-59,044857
W20073;-;S. RAICES NORTE;Provincial;18;7;BELLA VISTA;10;BELLA VISTA;-28,50773;-59,044857
W20101;5,01801E+13;CIC BELLA VISTA;Municipal;18;7;BELLA VISTA;10;BELLA VISTA;-28,50773;-59,044857
W20156;5,01801E+13;SALA B NORTE;Provincial;18;7;BELLA VISTA;10;BELLA VISTA;-28,502765;-59,033776
W20014;5,01803E+13;CAPS FLORES DURAN;Municipal;18;28;CONCEPCION;10;CONCEPCION;-28,395024;-57,886962
W20112;5,01803E+13;SALA FELIX ACEVEDO;Municipal;18;28;CONCEPCION;10;CONCEPCION;-28,393816;-57,887306
W20018;5,0181E+13;SAPS MARTINIANO MEZZORANA;Municipal;18;98;MBURUCUYA;10;MBURUCUYA;-28,042894;-58,235778
W20069;5,0181E+13;CIC MBURUCUYÁ;Municipal;18;98;MBURUCUYA;10;MBURUCUYA;-28,038046;-58,228225
W20102;5,01807E+13;SALA ASISTENCIA MUNICIPAL;Municipal;18;70;GOYA;20;GOYA;-29,1442242;-59,2643242
W20011;5,01805E+13;SALA FAMILIAS EN ACCION;Provincial;18;49;ESQUINA;10;ESQUINA;-30,0174;-59,532161
W20157;5,01805E+13;SALA CIC ESQUINA;Municipal;18;49;ESQUINA;10;ESQUINA;-30,0174;-59,532161
W20159;5,01805E+13;CAPS MALVINAS;Provincial;18;49;ESQUINA;10;ESQUINA;-30,0174;-59,532161
W20107;5,01811E+13;S. VICENTE MENDIETA;Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W20057;5,01811E+13;CAPS OMAR ELIAS;Provincial;18;105;MERCEDES;30;MERCEDES;-29,182693;-58,078971
W20058;5,01811E+13;CAPS ANFITEATRO;Provincial;18;105;MERCEDES;30;MERCEDES;-29,182693;-58,078971
W20060;5,01804E+13;CAPS ARTURO ONATIVIA;Provincial;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,779873;-58,06549
W20109;5,01804E+13;SALA HERMANA TERESITA;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W20110;5,01804E+13;CIC CURUZÚ CUATIÁ;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,790601;-58,050399
W20045;5,01818E+13;S.B ENTRE RIOS;Municipal;18;175;SAUCE;10;SAUCE;-30,080206;-58,788643
W20168;-;DIRECCIÓN DE EMERGENCIA METROPOLITANA;Municipal;18;21;CAPITAL;20;CORRIENTES;0;0
W10017;1,01802E+13;HOSP. ANGELA I. DE LLANO;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,472523;-58,810801
W10018;1,11802E+13;HOSP. PEDIÁTRICO JUAN PABLO II;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,475493;-58,819212
W10118;5,01808E+13;S. FRANCISCO BAIAO;Provincial;18;77;ITATI;20;RAMADA PASO;-27,358046;-58,298263
W10021;5,01802E+13;S.A.P.S. SANTA RITA;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,493044;-58,697547
W08544;5,01804E+13;SALA BELLA ROSA;Provincial;18;42;EMPEDRADO;20;EMPEDRADO;-27,962869;-58,771362
W08548;5,01802E+13;S. LOMAS DE EMPEDRADO;Provincial;18;42;EMPEDRADO;20;EMPEDRADO;-27,93132741;-58,78234863
W08546;5,11804E+13;S. TOMAS ACEVEDO;Provincial;18;42;EMPEDRADO;20;EMPEDRADO;-27,954681;-58,799171
W08542;5,01804E+13;S. MEDALLA MILAGROSA;Provincial;18;42;EMPEDRADO;20;EMPEDRADO;-27,950435;-58,797626
W08555;5,01804E+13;S. ATANACIO GODOY;Provincial;18;42;EMPEDRADO;20;EMPEDRADO;-27,948312;-58,796081
W08554;5,01804E+13;S. PARADA COCO;Provincial;18;42;EMPEDRADO;20;EMPEDRADO;-27,957562;-58,803634
W08424;5,01807E+13;G. BALESTRA - BARRIO JARDIN;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W10152;5,01807E+13;SALA SAN RAMON;Municipal;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W10131;5,01807E+13;SALA MEDALLA MILAGROSA;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W08419;5,01807E+13;SALA B° ITATI;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W10076;5,01807E+13;SALA 25 DE MAYO;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W08420;5,01807E+13;BO. DEVOTO;Municipal;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W08426;5,01807E+13;C. OSCAR MUNIAGURRIA;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W08428;5,01807E+13;P.S. BUENA VISTA;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W08480;5,01805E+13;II SECCION GUAYQUIRARO;Provincial;18;49;ESQUINA;10;ESQUINA;-30,0174;-59,532161
W10147;-;SALA SAN FERNANDO;Provincial;18;49;ESQUINA;10;ESQUINA;0;0
W08485;5,01805E+13;III SECCION EL CARMEN;Provincial;18;49;ESQUINA;10;ESQUINA;-30,0174;-59,532161
W10063;5,01811E+13;DISP. 308 VIVIENDAS - JUAN F. ARETA;Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W10064;5,01811E+13;DISP. BELGRANO;Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W10065;5,01811E+13;CIC (EX ENRIORI);Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W07031;5,01811E+13;JUAN DE LA ROSA (TIRO FEDERAL);Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W07032;5,01811E+13;FLORIDA (RAMON CARRILLO);Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W10066;5,01811E+13;SAN MARTIN (ROSBACO);Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W07027;5,01811E+13;AXEL VERON;Provincial;18;105;MERCEDES;30;MERCEDES;-29,182693;-58,078971
W07028;5,01811E+13;SALA CASTELLO;Provincial;18;105;MERCEDES;30;MERCEDES;-29,182693;-58,078971
W07029;5,01811E+13;COTY YUNES;Provincial;18;105;MERCEDES;30;MERCEDES;-29,182693;-58,078971
W10148;5,01811E+13;SALA SAN FRANCISCO;Provincial;18;105;MERCEDES;30;MERCEDES;-29,185737;-58,079223
W07030;5,01811E+13;SOCIEDAD RURAL;Provincial;18;105;MERCEDES;30;MERCEDES;-29,182693;-58,078971
W10031;5,01804E+13;C.A.P.S. P. OBREGON B CENTENARIO;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W10028;5,01804E+13;C.A.P.S. DR. RODRIGUEZ B SANTA ROSA;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W10033;5,01804E+13;SALA JUANA GARIN DE BENTA;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W10032;5,01804E+13;CAPS SAN RAMON;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W10029;5,01804E+13;C.A.P.S. JUAN PEDRO SORRIBES;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W10052;5,01812E+13;CAPS N° 1 - SIMON PAIVA;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,71371;-57,08556
W10053;5,01812E+13;CAPS N° 2 - 132 VIV;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,71371;-57,08556
W10054;5,01812E+13;CAPS N° 3 - HIPODROMO;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,71371;-57,08556
W01493;5,01802E+13;C.A.P.S. 7 LAGUNA BRAVA;Provincial;18;21;CAPITAL;30;LAGUNA BRAVA;-27,492892;-58,720035
W01497;5,01802E+13;C.A.P.S. 9 BARRIO 17 DE AGOSTO;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,490608;-58,783936
W01504;5,01802E+13;C.A.P.S. 13;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,493292;-58,837988
W06961;1,01814E+13;"""HOSP. """"SAN LUIS DEL PALMAR""""""";Provincial;18;140;SAN LUIS DEL PALMAR;10;SAN LUIS DEL PALMAR;-27,534455;-58,554725
W06963;5,01813E+13;E.S. MARIA AUXILIADORA;Provincial;18;133;SAN COSME;40;SANTA ANA;-27,370151;-58,512554
W06959;1,01804E+13;HOSP. DR. JAIME DÁVILA;Provincial;18;42;EMPEDRADO;20;EMPEDRADO;-27,952558;-58,805351
W06965;1,01808E+13;HOSP. DRES. GARCIA;Provincial;18;77;ITATI;10;ITATI;-27,270499;-58,244018
W07017;1,01806E+13;HOSP. INMACULADA CONCEPCIÓN;Provincial;18;63;GENERAL PAZ;10;ITA IBATE;-27,442478;-57,345886
